[03-16 20:17:32] User: 1mperfect | Command: botinfo
[03-16 20:19:44] User: 1mperfect | Command: randomrolequeue
[03-16 22:30:56] User: 1mperfect | Command: help
[03-16 22:31:03] User: 1mperfect | Command: hello
[03-16 22:36:02] User: 1mperfect | Command: reload
[03-16 22:36:06] User: 1mperfect | Command: hello
[03-16 22:43:28] User: 1mperfect | Command: reload
[03-16 22:43:32] User: 1mperfect | Command: hello
[03-16 22:44:53] User: 1mperfect | Command: serverinfo
[03-17 02:34:00] User: 1mperfect | Command: help
[03-17 02:35:35] User: 1mperfect | Command: image
[03-17 02:40:46] User: 1mperfect | Command: botinfo
[03-17 02:41:20] User: 1mperfect | Command: help
[03-17 02:41:30] User: 1mperfect | Command: image
[03-17 02:41:53] User: 1mperfect | Command: image
[03-17 03:36:53] User: 1mperfect | Command: reload
[03-17 03:37:14] User: 1mperfect | Command: image
[03-17 03:55:07] User: 1mperfect | Command: image
[03-17 04:01:22] User: 1mperfect | Command: image
[03-17 04:03:51] User: 1mperfect | Command: botinfo
[03-17 04:05:43] User: 1mperfect | Command: reload
[03-17 04:05:51] User: 1mperfect | Command: image
[03-17 04:06:16] User: 1mperfect | Command: image
[03-17 04:07:04] User: 1mperfect | Command: image
[03-17 04:09:30] User: 1mperfect | Command: image
[03-17 04:10:44] User: 1mperfect | Command: image
[03-17 04:13:12] User: chickennuggetsarefire | Command: image
[03-17 04:14:39] User: 1mperfect | Command: image
[03-17 04:16:16] User: chickennuggetsarefire | Command: image
[03-17 04:18:01] User: 1mperfect | Command: image
[03-17 04:19:38] User: chickennuggetsarefire | Command: image
[03-17 04:20:37] User: 1mperfect | Command: image
[03-17 04:21:21] User: 1mperfect | Command: image
[03-17 04:22:53] User: chickennuggetsarefire | Command: image
[03-17 04:23:36] User: 1mperfect | Command: image
[03-17 04:24:42] User: chickennuggetsarefire | Command: image
[03-17 04:26:41] User: chickennuggetsarefire | Command: image
[03-17 04:27:41] User: 1mperfect | Command: image
[03-17 04:29:11] User: chickennuggetsarefire | Command: image
[03-17 04:30:59] User: 1mperfect | Command: image
[03-17 04:32:39] User: chickennuggetsarefire | Command: image
[03-17 04:34:02] User: chickennuggetsarefire | Command: image
[03-17 04:35:11] User: chickennuggetsarefire | Command: image
[03-17 04:36:20] User: chickennuggetsarefire | Command: image
[03-17 04:37:29] User: chickennuggetsarefire | Command: image
[03-17 04:40:29] User: 1mperfect | Command: reload
[03-17 04:40:36] User: 1mperfect | Command: image
[03-17 04:41:54] User: 1mperfect | Command: reload
[03-17 04:42:05] User: 1mperfect | Command: image
[03-17 04:46:26] User: 1mperfect | Command: botinfo
[03-17 04:48:27] User: 1mperfect | Command: hello
[03-17 04:50:23] User: 1mperfect | Command: image
[03-17 04:51:47] User: 1mperfect | Command: help
